,category,accession,file_index
0,plant,NW_009338801.1,1
1,plant,NW_009338803.1,1
2,plant,NW_009338806.1,1
3,plant,NW_009338807.1,1
4,plant,NW_009338808.1,1
5,plant,NW_009338809.1,1
6,plant,NW_009338810.1,1
7,plant,NW_009338811.1,1
8,plant,NW_009338812.1,1
9,plant,NW_009338813.1,1
10,plant,NW_009338814.1,1
11,plant,NW_009338815.1,1
12,plant,NW_009338816.1,1
13,plant,NW_009338817.1,1
14,plant,NW_009338818.1,1
15,plant,NW_009338819.1,1
16,plant,NW_009338820.1,1
17,plant,NW_009338821.1,1
18,plant,NW_009338822.1,1
19,plant,NW_009338823.1,1
20,plant,NW_009338824.1,1
21,plant,NW_009338825.1,1
22,plant,NW_009338827.1,1
23,plant,NW_009338828.1,1
24,plant,NW_009338829.1,1
25,plant,NW_009338830.1,1
26,plant,NW_009338831.1,1
27,plant,NW_009338832.1,1
28,plant,NW_009338833.1,1
29,plant,NW_009338834.1,1
30,plant,NW_009338835.1,1
31,plant,NW_009338836.1,1
32,plant,NW_009338837.1,1
33,plant,NW_009338838.1,1
34,plant,NW_009338839.1,1
35,plant,NW_009338840.1,1
36,plant,NW_009338841.1,1
37,plant,NW_009338842.1,1
38,plant,NW_009338843.1,1
39,plant,NW_009338844.1,1
40,plant,NW_009338845.1,1
41,plant,NW_009338846.1,1
42,plant,NW_009338847.1,1
43,plant,NW_009338848.1,1
44,plant,NW_009338849.1,1
45,plant,NW_009338850.1,1
46,plant,NW_009338851.1,1
47,plant,NW_009338852.1,1
48,plant,NW_009338853.1,1
49,plant,NW_009338854.1,1
50,plant,NW_009338856.1,1
51,plant,NW_009338857.1,1
52,plant,NW_009338858.1,1
53,plant,NW_009338859.1,1
54,plant,NW_009338861.1,1
55,plant,NW_009338862.1,1
56,plant,NW_009338863.1,1
57,plant,NW_009338864.1,1
58,plant,NW_009338865.1,1
59,plant,NW_009338866.1,1
60,plant,NW_009338867.1,1
61,plant,NW_009338868.1,1
62,plant,NW_009338869.1,1
63,plant,NW_009338870.1,1
64,plant,NW_009338872.1,1
65,plant,NW_009338873.1,1
66,plant,NW_009338874.1,1
67,plant,NW_009338875.1,1
68,plant,NW_009338876.1,1
69,plant,NW_009338878.1,1
70,plant,NW_009338879.1,1
71,plant,NW_009338880.1,1
72,plant,NW_009338881.1,1
73,plant,NW_009338882.1,1
74,plant,NW_009338883.1,1
75,plant,NW_009338884.1,1
76,plant,NW_009338885.1,1
77,plant,NW_009338886.1,1
78,plant,NW_009338887.1,1
79,plant,NW_009338888.1,1
80,plant,NW_009338889.1,1
81,plant,NW_009338891.1,1
82,plant,NW_009338892.1,1
83,plant,NW_009338893.1,1
84,plant,NW_009338894.1,1
85,plant,NW_009338895.1,1
86,plant,NW_009338897.1,1
87,plant,NW_009338898.1,1
88,plant,NW_009338899.1,1
89,plant,NW_009338900.1,1
90,plant,NW_009338901.1,1
91,plant,NW_009338902.1,1
92,plant,NW_009338903.1,1
93,plant,NW_009338904.1,1
94,plant,NW_009338905.1,1
95,plant,NW_009338906.1,1
96,plant,NW_009338907.1,1
97,plant,NW_009338908.1,1
98,plant,NW_009338909.1,1
99,plant,NW_009338910.1,1
100,plant,NW_009338911.1,1
101,plant,NW_009338912.1,1
102,plant,NW_009338913.1,1
103,plant,NW_009338915.1,1
104,plant,NW_009338916.1,1
105,plant,NW_009338917.1,1
106,plant,NW_009338918.1,1
107,plant,NW_009338919.1,1
108,plant,NW_009338920.1,1
109,plant,NW_009338921.1,1
110,plant,NW_009338922.1,1
111,plant,NW_009338923.1,1
112,plant,NW_009338924.1,1
113,plant,NW_009338925.1,1
114,plant,NW_009338926.1,1
115,plant,NW_009338928.1,1
116,plant,NW_009338929.1,1
117,plant,NW_009338930.1,1
118,plant,NW_009338931.1,1
119,plant,NW_009338932.1,1
120,plant,NW_009338933.1,1
121,plant,NW_009338934.1,1
122,plant,NW_009338935.1,1
123,plant,NW_009338936.1,1
124,plant,NW_009338937.1,1
125,plant,NW_009338939.1,1
126,plant,NW_009338940.1,1
127,plant,NW_009338941.1,1
128,plant,NW_009338942.1,1
129,plant,NW_009338943.1,1
130,plant,NW_009338944.1,1
131,plant,NW_009338945.1,1
132,plant,NW_009338946.1,1
133,plant,NW_009338947.1,1
134,plant,NW_009338948.1,1
135,plant,NW_009338949.1,1
136,plant,NW_009338950.1,1
137,plant,NW_009338951.1,1
138,plant,NW_009338952.1,1
139,plant,NW_009338953.1,1
140,plant,NW_009338954.1,1
141,plant,NW_009338955.1,1
142,plant,NW_009338956.1,1
143,plant,NW_009338957.1,1
144,plant,NW_009338958.1,1
145,plant,NW_009338959.1,1
146,plant,NW_009338961.1,1
147,plant,NW_009338962.1,1
148,plant,NW_009338963.1,1
149,plant,NW_009338964.1,1
150,plant,NW_009338965.1,1
151,plant,NW_009338966.1,1
152,plant,NW_009338967.1,1
153,plant,NW_009338968.1,1
154,plant,NW_009338969.1,1
